

2016年01月07日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="031225","GY第一          ","0","0","0","--","--","--","--"," ","0","0.01","10","0.1","10","11.45"
="031231","8D元富          ","34000","9","2600","0.08","0.13","0.07","0.13"," ","0","0.06","16","0.1","100","77"
="031262","日盛Y5          ","397000","44","219550","0.8","0.81","0.4","0.52","-","0.17","0.44","25","0.45","10","27.35"
="031264","23統一          ","0","0","0","--","--","--","--"," ","0","0.01","20","0.1","21","133"
="031265","24統一          ","261000","3","2610","0.01","0.01","0.01","0.01"," ","0","0.01","30","0.02","873","70.3"
="031323","日盛Y9          ","180000","2","1800","0.01","0.01","0.01","0.01","X","0","0.01","25","0.04","25","6.48"
="031438","國票AG          ","469000","5","15760","0.04","0.04","0.03","0.03","-","0.02","0.04","499","0.05","310","133"
="031473","32統一          ","0","0","0","--","--","--","--"," ","0","0.02","10","0.05","400","18.6"
="031475","D6元大          ","433000","26","1229850","2.71","3.22","2.7","3.16","+","0.42","3.03","495","3.04","409","21.01"
="031506","中信5V          ","269000","2","2690","0.01","0.01","0.01","0.01","X","0","--","0","0.01","1,184","66.7"
="031552","日盛AC          ","2000","2","20","0.01","0.01","0.01","0.01","-","0.01","0.01","25","0.02","25","39.65"
="031573","KN富邦          ","350000","4","3500","0.01","0.01","0.01","0.01","X","0","0.01","10","0.08","34","78.3"
="031583","9U元富          ","268000","13","53290","0.2","0.21","0.11","0.18","-","0.04","0.18","7","0.23","66","77"
="031606","中信6K          ","0","0","0","--","--","--","--"," ","0","--","0","0.02","10","226"
="031644","KX富邦          ","0","0","0","--","--","--","--"," ","0","--","0","0.1","50","7.66"
="031739","50統一          ","396000","6","47520","0.12","0.12","0.12","0.12"," ","0","0.12","10","0.21","22","28.1"
="031748","59統一          ","806000","5","8060","0.01","0.01","0.01","0.01","-","0.01","0.01","10","0.02","157","1830"
="03177B","元熊I1          ","0","0","0","--","--","--","--"," ","0","3.53","499","3.54","499","7852.06"
="03178B","元熊18          ","0","0","0","--","--","--","--"," ","0","5.3","495","5.35","499","917.43"
="031801","LN富邦          ","0","0","0","--","--","--","--"," ","0","--","0","0.1","10","1830"
="031803","LQ富邦          ","0","0","0","--","--","--","--"," ","0","--","0","0.01","200","1830"
="03180B","元熊J1          ","297000","10","1045780","3.35","3.54","3.35","3.48","+","0.13","3.48","499","3.49","495","7852.06"
="03182B","元熊K1          ","5000","2","13140","2.58","2.7","2.58","2.7","+","0.15","2.7","497","2.71","499","7852.06"
="031838","國泰LB          ","310000","12","39100","0.2","0.21","0.1","0.1","-","0.13","0.08","100","0.12","30","49.8"
